participant_name,session_start,trial_number,trial_timestamp,trial_time_elapsed,target_side,alpha_o1,alpha_o2,alpha_p3,alpha_p4,attention_direction,reaction_time,confidence,ball_position_x,ball_target_x,trial_duration,notes,asymmetry,is_correct
test06,2025-07-18 20:35:23,1,2025-07-18 20:36:13.541,50.044,right,20.200177,20.817027,6.876117,5.362917,center,0.5,0.02453,,,5,,-0.030079890856534,0
test06,2025-07-18 20:35:23,2,2025-07-18 20:36:18.556,55.059,left,10.054814,8.073975,7.473992,2.9784,center,0.5,0.219406,,,5,,0.219405598726675,0
test06,2025-07-18 20:35:23,3,2025-07-18 20:36:23.579,60.082,left,18.93971,17.43094,5.79433,11.129351,center,0.5,0.083014,,,5,,0.083013988047182,0
test06,2025-07-18 20:35:23,4,2025-07-18 20:36:28.599,65.102,left,16.552487,19.504172,8.679561,4.768475,center,0.5,0.164092,,,5,,-0.164092028967183,1
test06,2025-07-18 20:35:23,5,2025-07-18 20:36:33.610,70.112,right,16.503765,11.018048,10.976612,6.373717,center,0.5,0.404054,,,5,,0.404053881146637,1
test06,2025-07-18 20:35:23,6,2025-07-18 20:36:38.618,75.121,right,12.039609,10.086008,16.260445,5.226046,center,0.5,0.177053,,,5,,-0.177052847437409,0
test06,2025-07-18 20:35:23,7,2025-07-18 20:36:43.634,80.136,left,9.168208,12.202068,12.494251,3.429202,center,0.5,0.285864,,,5,,-0.285863598246942,1
test06,2025-07-18 20:35:23,8,2025-07-18 20:36:48.644,85.147,left,31.212868,21.057109,9.34691,12.479274,center,0.5,0.394139,,,5,,0.393592222855678,0
test06,2025-07-18 20:35:23,9,2025-07-18 20:36:53.662,90.165,right,16.533623,7.937385,7.048202,19.760106,left,0.5,0.733812,,,5,,-0.733812189145707,0
test06,2025-07-18 20:35:23,10,2025-07-18 20:36:58.683,95.186,left,14.793655,20.668455,5.763634,4.560735,center,0.5,0.33441,,,5,,-0.334410252262564,1
test06,2025-07-18 20:35:23,11,2025-07-18 20:37:03.705,100.208,left,16.081666,17.498531,9.042874,8.893216,center,0.5,0.084437,,,5,,-0.0844370691997631,1
test06,2025-07-18 20:35:23,12,2025-07-18 20:37:08.721,105.224,right,24.014574,16.765697,6.181561,21.045446,center,0.5,0.359326,,,5,,0.359325942283069,1
test06,2025-07-18 20:35:23,13,2025-07-18 20:37:13.743,110.246,right,15.091801,9.846449,6.50961,6.46631,right,0.5,0.427041,,,5,,0.427040733650041,1
test06,2025-07-18 20:35:23,14,2025-07-18 20:37:18.765,115.268,right,8.905321,22.44153,17.121034,2.507648,left,0.5,0.924264,,,5,,-0.924264296891947,0
test06,2025-07-18 20:35:23,15,2025-07-18 20:37:23.782,120.285,left,26.29932,32.340537,23.081412,4.890798,center,0.5,0.206778,,,5,,-0.206778375498698,1
test06,2025-07-18 20:35:23,16,2025-07-18 20:37:28.805,125.308,right,14.043336,15.744915,11.581933,8.052202,center,0.5,0.118575,,,5,,-0.114369478787959,0
test06,2025-07-18 20:35:23,17,2025-07-18 20:37:33.826,130.329,left,19.449759,35.269141,15.922037,8.499212,left,0.5,0.594595,,,5,,-0.595173709733285,1
test06,2025-07-18 20:35:23,18,2025-07-18 20:37:38.841,135.344,right,38.331048,42.980964,8.22089,8.964174,center,0.5,0.114497,,,5,,-0.11449709947295,0
test06,2025-07-18 20:35:23,19,2025-07-18 20:37:43.855,140.357,right,16.188434,10.40374,14.825708,20.109014,right,0.5,0.442132,,,5,,0.442131679751113,1
test06,2025-07-18 20:35:23,20,2025-07-18 20:37:48.875,145.378,left,16.260139,27.589694,13.088217,4.832113,left,0.5,0.528726,,,5,,-0.528725644524087,1
test06,2025-07-18 20:35:23,21,2025-07-18 20:37:53.890,150.393,right,26.791345,14.961672,13.013991,4.381557,left,0.5,0.582587,,,5,,-0.582587156589755,0
test06,2025-07-18 20:35:23,22,2025-07-18 20:37:58.908,155.41,left,14.586888,9.304937,12.269876,10.792434,right,0.5,0.449578,,,5,,0.449577923487258,0
test06,2025-07-18 20:35:23,23,2025-07-18 20:38:03.917,160.42,left,12.534083,14.388728,10.798851,4.186305,center,0.5,0.130555,,,5,,-0.137993548504928,1
test06,2025-07-18 20:35:23,24,2025-07-18 20:38:08.927,165.429,right,14.16336,18.229201,9.903911,6.428763,center,0.5,0.252366,,,5,,-0.252366410623731,0
test06,2025-07-18 20:35:23,25,2025-07-18 20:38:13.942,170.445,right,12.842809,11.588804,7.915755,11.326798,center,0.5,0.102745,,,5,,0.10274458418596,1
test06,2025-07-18 20:35:23,26,2025-07-18 20:38:18.955,175.458,left,21.331531,21.572556,12.052109,10.136451,center,0.5,0.011236,,,5,,-0.0112356445469545,1
test06,2025-07-18 20:35:23,27,2025-07-18 20:38:23.972,180.475,left,9.134451,10.493285,9.945806,3.1899,center,0.5,0.138683,,,5,,-0.13868243926956,1
test06,2025-07-18 20:35:23,28,2025-07-18 20:38:28.982,185.485,left,51.307141,50.690856,26.246724,17.475572,center,0.5,0.012084,,,5,,0.012084403967294,0
test06,2025-07-18 20:35:23,29,2025-07-18 20:38:33.999,190.501,left,12.564227,23.341685,8.742369,2.262284,left,0.5,0.628223,,,5,,-0.619387168903914,1
test06,2025-07-18 20:35:23,30,2025-07-18 20:38:39.010,195.512,left,6.945728,14.949477,13.964708,3.971037,left,0.5,0.76655,,,5,,-0.766549521620368,1
test06,2025-07-18 20:35:23,31,2025-07-18 20:38:44.015,200.518,left,19.481036,20.171517,10.207865,5.61403,center,0.5,0.03483,,,5,,-0.034830080295134,1
test06,2025-07-18 20:35:23,32,2025-07-18 20:38:49.032,205.535,right,50.470422,37.622135,12.575462,4.95668,center,0.5,0.293795,,,5,,0.293794887729658,1
test06,2025-07-18 20:35:23,33,2025-07-18 20:38:54.047,210.549,left,9.713338,16.45483,9.208365,3.383488,left,0.5,0.527119,,,5,,-0.527119058597524,1
test06,2025-07-18 20:35:23,34,2025-07-18 20:38:59.056,215.558,left,12.139929,16.833884,19.132009,5.168259,center,0.5,0.326894,,,5,,-0.326893822770113,1
test06,2025-07-18 20:35:23,35,2025-07-18 20:39:04.072,220.574,right,7.755968,6.554993,6.095521,6.263516,center,0.5,0.168236,,,5,,-0.168235562205849,0
test06,2025-07-18 20:35:23,36,2025-07-18 20:39:09.087,225.589,left,37.14816,24.384114,6.304283,11.09175,right,0.5,0.422272,,,5,,0.42098238631027,0
test06,2025-07-18 20:35:23,37,2025-07-18 20:39:14.096,230.599,left,14.85064,19.421635,5.58912,7.764143,center,0.5,0.268345,,,5,,0.268344688911237,0
test06,2025-07-18 20:35:23,38,2025-07-18 20:39:19.114,235.617,left,7.868082,17.720886,5.853163,13.982476,right,0.5,0.81193,,,5,,0.811929621492093,0
test06,2025-07-18 20:35:23,39,2025-07-18 20:39:24.136,240.638,right,8.246781,9.54207,12.203948,3.990683,center,0.5,0.145887,,,5,,-0.145887500667594,0
test06,2025-07-18 20:35:23,40,2025-07-18 20:39:29.152,245.654,left,15.315801,15.61809,11.043926,4.289494,center,0.5,0.019545,,,5,,-0.0195448172234278,1
test06,2025-07-18 20:35:23,41,2025-07-18 20:39:34.170,250.673,right,26.814482,28.667561,22.468889,4.942708,center,0.5,0.066824,,,5,,-0.0668240900710266,0
test06,2025-07-18 20:35:23,42,2025-07-18 20:39:39.182,255.685,left,19.195911,30.705249,31.288751,5.28406,left,0.5,0.469736,,,5,,-0.469736329574242,1
test06,2025-07-18 20:35:23,43,2025-07-18 20:39:44.198,260.701,left,18.097039,23.175909,6.261883,9.806046,center,0.5,0.266922,,,5,,0.247365000254611,0
test06,2025-07-18 20:35:23,44,2025-07-18 20:39:49.211,265.714,right,85.24508,60.72275,52.553686,16.913503,center,0.5,0.339212,,,5,,-0.339211979971326,0
test06,2025-07-18 20:35:23,45,2025-07-18 20:39:54.227,270.73,left,16.744865,21.144988,7.966674,10.59063,center,0.5,0.233311,,,5,,-0.233311259308664,1
test06,2025-07-18 20:35:23,46,2025-07-18 20:39:59.240,275.743,left,45.495654,31.699995,14.917046,20.149091,center,0.5,0.3613,,,5,,0.361300281756883,0
test06,2025-07-18 20:35:23,47,2025-07-18 20:40:04.258,280.76,left,30.520609,30.870811,12.394846,10.922127,center,0.5,0.011409,,,5,,0.0114089492843287,0
test06,2025-07-18 20:35:23,48,2025-07-18 20:40:09.265,285.767,right,33.151445,25.315777,12.695765,14.111502,center,0.5,0.272801,,,5,,0.26965850720975,1
test06,2025-07-18 20:35:23,49,2025-07-18 20:40:14.288,290.79,left,14.820992,26.236225,19.826155,5.928878,left,0.5,0.571282,,,5,,-0.571096535197166,1
test06,2025-07-18 20:35:23,50,2025-07-18 20:40:19.303,295.805,left,7.598641,18.191408,34.607728,15.459556,left,0.5,0.87298,,,5,,-0.872979979188718,1
test06,2025-07-18 20:35:23,51,2025-07-18 20:40:24.315,300.817,right,24.922407,50.166244,48.877704,13.395052,left,0.5,0.699575,,,5,,-0.699575091896259,0
test06,2025-07-18 20:35:23,52,2025-07-18 20:40:29.326,305.829,right,14.828535,14.136413,6.612484,5.764671,center,0.5,0.047799,,,5,,0.0477994142498223,1
test06,2025-07-18 20:35:23,53,2025-07-18 20:40:34.347,310.85,left,6.586619,8.731743,13.398929,3.022135,center,0.5,0.281925,,,5,,-0.2819248394969,1
test06,2025-07-18 20:35:23,54,2025-07-18 20:40:39.354,315.856,right,13.141863,19.735669,10.501154,4.581643,left,0.5,0.411733,,,5,,-0.406624823875737,0
test06,2025-07-18 20:35:23,55,2025-07-18 20:40:44.375,320.878,left,10.462204,14.125791,8.005089,7.240474,center,0.5,0.298928,,,5,,-0.300233131566506,1
test06,2025-07-18 20:35:23,56,2025-07-18 20:40:49.385,325.887,left,11.544826,9.327883,7.436886,11.181493,center,0.5,0.213229,,,5,,0.213229284585549,0
test06,2025-07-18 20:35:23,57,2025-07-18 20:40:54.402,330.905,left,7.67791,10.171394,8.75468,2.392128,center,0.5,0.281232,,,5,,-0.281231895773084,1
test06,2025-07-18 20:35:23,58,2025-07-18 20:40:59.416,335.919,right,12.84649,9.949295,7.468391,8.910853,center,0.5,0.255569,,,5,,0.25556892788866,1
test06,2025-07-18 20:35:23,59,2025-07-18 20:41:04.441,340.944,right,14.667861,11.622723,7.147633,3.93937,center,0.5,0.232697,,,5,,0.232696712432488,1
test06,2025-07-18 20:35:23,60,2025-07-18 20:41:09.451,345.953,right,21.160091,10.768495,9.301353,10.732646,right,0.5,0.675492,,,5,,0.675492166162778,1
test06,2025-07-18 20:35:23,61,2025-07-18 20:41:14.475,350.978,left,14.12423,20.761999,8.348167,5.808388,center,0.5,0.385233,,,5,,-0.38523258233387,1
test06,2025-07-18 20:35:23,62,2025-07-18 20:41:19.486,355.988,left,22.734752,16.781479,10.253081,25.7455,center,0.5,0.297674,,,5,,0.303618841127772,0
test06,2025-07-18 20:35:23,63,2025-07-18 20:41:24.497,361,right,26.29889,20.128246,4.015267,9.567819,center,0.5,0.267403,,,5,,0.267402630745907,1
test06,2025-07-18 20:35:23,64,2025-07-18 20:41:29.518,366.021,right,5.731434,4.608022,5.776995,5.131219,center,0.5,0.218167,,,5,,0.218167063508749,1
test06,2025-07-18 20:35:23,65,2025-07-18 20:41:34.532,371.035,right,21.551182,18.506269,11.208299,10.566978,center,0.5,0.152321,,,5,,0.152321124686117,1
test06,2025-07-18 20:35:23,66,2025-07-18 20:41:39.546,376.049,right,18.877048,16.016899,13.893141,7.923968,center,0.5,0.164302,,,5,,-0.164302440194099,0
test06,2025-07-18 20:35:23,67,2025-07-18 20:41:44.559,381.062,left,23.995772,32.233636,14.220359,11.252893,center,0.5,0.278034,,,5,,-0.295132855450509,1
test06,2025-07-18 20:35:23,68,2025-07-18 20:41:49.582,386.084,left,12.728702,19.580081,10.444185,3.766247,left,0.5,0.430653,,,5,,-0.430653330462408,1
test06,2025-07-18 20:35:23,69,2025-07-18 20:41:54.600,391.102,left,13.792017,18.373876,16.903357,7.36428,center,0.5,0.28684,,,5,,-0.286839926640723,1
test06,2025-07-18 20:35:23,70,2025-07-18 20:41:59.622,396.125,left,17.9972,27.350435,19.521509,7.4343,left,0.5,0.418516,,,5,,-0.418516243436934,1
test06,2025-07-18 20:35:23,71,2025-07-18 20:42:04.643,401.146,left,10.905395,26.554042,21.029274,2.029449,left,0.5,0.889924,,,5,,-0.889924356240922,1
test06,2025-07-18 20:35:23,72,2025-07-18 20:42:09.652,406.155,right,13.288439,18.222304,12.523672,9.645367,center,0.5,0.315752,,,5,,-0.315751929190602,0
test06,2025-07-18 20:35:23,73,2025-07-18 20:42:14.671,411.174,left,21.642721,28.436156,23.89707,10.196685,center,0.5,0.272992,,,5,,-0.272992248610563,1
test06,2025-07-18 20:35:23,74,2025-07-18 20:42:19.682,416.185,right,21.668071,18.137202,9.228049,9.493991,center,0.5,0.177875,,,5,,0.177874606484628,1
test06,2025-07-18 20:35:23,75,2025-07-18 20:42:24.704,421.207,left,16.255558,19.858353,10.828962,4.861329,center,0.5,0.207767,,,5,,-0.200189843598718,1
test06,2025-07-18 20:35:23,76,2025-07-18 20:42:29.728,426.231,left,17.194572,20.698472,12.549984,5.027375,center,0.5,0.185644,,,5,,-0.185466128503865,1
test06,2025-07-18 20:35:23,77,2025-07-18 20:42:34.745,431.247,left,14.976323,15.161542,6.208832,4.347175,center,0.5,0.012292,,,5,,0.0122916027366457,0
test06,2025-07-18 20:35:23,78,2025-07-18 20:42:39.764,436.266,left,11.528442,13.01903,11.276017,7.045292,center,0.5,0.121595,,,5,,0.121594933845284,0
test06,2025-07-18 20:35:23,79,2025-07-18 20:42:44.778,441.281,right,29.732695,19.639735,16.848932,4.951248,left,0.5,0.414692,,,5,,-0.414692472113935,0
test06,2025-07-18 20:35:23,80,2025-07-18 20:42:49.799,446.302,right,8.891111,6.60641,11.44397,5.30995,center,0.5,0.297012,,,5,,0.29701162376375,1
test06,2025-07-18 20:35:23,81,2025-07-18 20:42:54.818,451.321,left,10.94383,15.377211,8.021439,7.90886,center,0.5,0.340111,,,5,,-0.340110781097885,1
test06,2025-07-18 20:35:23,82,2025-07-18 20:42:59.831,456.334,right,22.797732,21.603214,7.484574,16.571609,center,0.5,0.053819,,,5,,0.0538189574110048,1
test06,2025-07-18 20:35:23,83,2025-07-18 20:43:04.846,461.349,right,15.55355,14.518009,8.293732,6.065196,center,0.5,0.068899,,,5,,0.0688990296070977,1
test06,2025-07-18 20:35:23,84,2025-07-18 20:43:09.860,466.363,left,5.314013,8.942763,4.591949,3.447639,left,0.5,0.52188,,,5,,-0.520497308136065,1
test06,2025-07-18 20:35:23,85,2025-07-18 20:43:14.873,471.376,right,7.641274,10.258698,4.318428,5.375909,center,0.5,0.294562,,,5,,-0.294561587902027,0
test06,2025-07-18 20:35:23,86,2025-07-18 20:43:19.879,476.382,right,19.8524,24.697963,8.631313,2.007711,center,0.5,0.218396,,,5,,-0.218395863971928,0
test06,2025-07-18 20:35:23,87,2025-07-18 20:43:24.892,481.394,left,6.15944,14.755968,3.78759,2.121177,left,0.5,0.873662,,,5,,-0.873661746800661,1
test06,2025-07-18 20:35:23,88,2025-07-18 20:43:29.909,486.412,left,18.600957,24.296188,27.394428,5.159375,center,0.5,0.267106,,,5,,-0.267106434604283,1
test06,2025-07-18 20:35:23,89,2025-07-18 20:43:34.927,491.429,right,47.152218,24.762437,11.833794,11.450351,right,0.5,0.644053,,,5,,0.644053181478605,1
test06,2025-07-18 20:35:23,90,2025-07-18 20:43:39.937,496.439,left,21.69948,23.413705,18.96115,11.447451,center,0.5,0.076277,,,5,,0.0760332375528918,0
test06,2025-07-18 20:35:23,91,2025-07-18 20:43:44.954,501.457,left,23.066007,24.500342,16.901491,9.221661,center,0.5,0.060327,,,5,,-0.060327101356246,1
test06,2025-07-18 20:35:23,92,2025-07-18 20:43:49.965,506.468,right,12.006825,14.120471,10.172527,5.189172,center,0.5,0.16215,,,5,,-0.162150350338257,0
test06,2025-07-18 20:35:23,93,2025-07-18 20:43:54.978,511.481,right,12.094335,11.102085,6.33692,5.346892,center,0.5,0.085604,,,5,,0.0856042326363777,1
test06,2025-07-18 20:35:23,94,2025-07-18 20:43:59.993,516.496,left,11.471956,7.672194,7.02887,8.198327,center,0.5,0.402303,,,5,,0.402302824406055,0
