participant,trial_index,true_label,predicted_label,model_confidence,confidence_level,is_high_attention,alpha_o1,alpha_o2,alpha_p3,alpha_p4,alpha_asymmetry,abs_asymmetry,target_side,is_correct,fold
file01,1,0,1,0.541825968031835,medium,False,13.904262,14.653808,4.404745,5.587669,-0.026246380576615293,0.026246380576615293,right,0,1
file01,3,1,1,0.5217222383918083,medium,False,23.718611,25.491538,19.041407,9.660419,-0.03602766908859248,0.03602766908859248,left,1,1
file01,6,1,1,0.541726257204006,medium,False,10.144931,17.688826,19.642051,2.364427,-0.27103400841524883,0.27103400841524883,left,1,1
file01,7,1,1,0.5667503805686481,medium,False,11.028383,19.697433,10.741675,2.765405,-0.28214221284986496,0.28214221284986496,left,1,1
file01,12,1,0,0.4864025275191227,low,False,35.587194,25.117352,11.443385,20.387026,0.17247212140467827,0.17247212140467827,right,1,1
file01,18,0,1,0.5369817505508038,medium,False,17.548214,19.739513,8.748369,3.036301,-0.0587672973799851,0.0587672973799851,right,0,1
file01,19,0,1,0.5338583106544946,medium,False,19.138874,25.124384,23.258763,8.54678,-0.13522524403365777,0.13522524403365777,right,0,1
file01,23,1,0,0.4984165329571031,low,False,19.935598,18.077251,17.811421,4.679806,0.04888733678216704,0.04888733678216704,right,1,1
file01,29,0,1,0.5565086015929489,medium,False,7.696833,12.924924,8.077421,4.522876,-0.2535230507505713,0.2535230507505713,left,0,1
file01,38,1,1,0.5606728329641895,medium,False,15.791038,27.690938,22.907294,4.520376,-0.27367430878315396,0.27367430878315396,left,1,1
file01,40,0,1,0.5231152551980383,medium,False,16.590122,14.716768,5.563325,3.83691,0.05983839149023135,0.05983839149023135,left,0,1
file01,51,0,1,0.5423262737854884,medium,False,19.981597,22.861738,8.208888,3.480865,-0.06722494718898638,0.06722494718898638,right,0,1
file01,63,0,1,0.5328428631946635,medium,False,13.974306,13.200557,6.928288,8.952445,0.028472966782832856,0.028472966782832856,right,0,1
file01,65,1,1,0.536938498122859,medium,False,22.187901,26.848835,15.797414,4.329713,-0.09504983987821214,0.09504983987821214,left,1,1
file01,68,0,1,0.5649406306729744,medium,False,12.104637,17.789925,7.088651,7.615833,-0.19017799323575996,0.19017799323575996,left,0,1
file01,70,1,0,0.4865100510972457,low,False,32.317177,23.322624,8.922871,10.421164,0.16165681179095495,0.16165681179095495,right,1,1
